,type,name,label,value,showif,block_order,item_order,class,choice1,choice2
61,note,movieL4QC2,"<h4>A movie has been playing in a theatre and is currently 85 minutes. 
 <h5>On the following scale, how likely do you think it would be to now see 10 people...</h5></h4>",,,B,,,,
62,"rating_button 1,7,1",movieL4C2,exit the showroom of a movie next-door,,,B,,,Not at all,Very
63,note,hrmovie8,<hr>,,,B,,,,
64,submit,continue8,Continue,,,B,,,,
65,note,movieL5QC1,"<h4>A movie has been playing in a theatre and is currently 100 minutes. 
 <h5>On the following scale, how likely do you think it would be to now see 10 people...</h5></h4>",,,B,,,,
66,"rating_button 1,7,1",movieL5C1,exit the movie's showroom.,,,B,,,Not at all,Very
67,note,hrmovie9,<hr>,,,B,,,,
68,note,movieL5QC2,"<h4>A movie has been playing in a theatre and is currently 100 minutes. 
 <h5>On the following scale, how likely do you think it would be to now see 10 people...</h5></h4>",,,B,,,,
69,"rating_button 1,7,1",movieL5C2,exit the showroom of a movie next-door,,,B,,,Not at all,Very
70,note,hrmovie10,<hr>,,,B,,,,
71,submit,continue9,Continue,,,B,,,,
72,note,podcastL1QC1,"<h4>Someone has been listening to a podcast for 30 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
73,"rating_button 1,7,1",podcastL1C1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,,C,,,Not at all,Very
74,note,hrpodcast1,<hr>,,,C,,,,
75,note,podcastL1QC2,"<h4>Someone has been listening to a podcast for 30 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
76,"rating_button 1,7,1",podcastL1C2,"the podcast host ask the rest of the panel ""Is there anything else you all wanted to discuss?""",,,C,,,Not at all,Very
77,note,hrpodcast2,<hr>,,,C,,,,
78,note,podcastL1QC3,"<h4>Someone has been listening to a podcast for 30 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
79,"rating_button 1,7,1",podcastL1C3,"a nearby pedestrian say 'Hey, I like that podcast too. Cool.'",,,C,,,Not at all,Very
80,note,hrpodcast3,<hr>,,,C,,,,
81,submit,continue10,Continue,,,C,,,,
82,note,podcastL2QC1,"<h4>Someone has been listening to a podcast for 60 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
83,"rating_button 1,7,1",podcastL2C1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,,C,,,Not at all,Very
84,note,hrpodcast4,<hr>,,,C,,,,
85,note,podcastL2QC2,"<h4>Someone has been listening to a podcast for 60 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
86,"rating_button 1,7,1",podcastL2C2,"the podcast host ask the rest of the panel ""Is there anything else you all wanted to discuss?""",,,C,,,Not at all,Very
87,note,hrpodcast5,<hr>,,,C,,,,
88,note,podcastL2QC3,"<h4>Someone has been listening to a podcast for 60 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
89,"rating_button 1,7,1",podcastL2C3,"a nearby pedestrian say 'Hey, I like that podcast too. Cool.'",,,C,,,Not at all,Very
90,note,hrpodcast6,<hr>,,,C,,,,
91,submit,continue11,Continue,,,C,,,,
92,note,podcastL3QC1,"<h4>Someone has been listening to a podcast for 80 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
93,"rating_button 1,7,1",podcastL3C1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,,C,,,Not at all,Very
94,note,hrpodcast7,<hr>,,,C,,,,
95,note,podcastL3QC2,"<h4>Someone has been listening to a podcast for 80 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
96,"rating_button 1,7,1",podcastL3C2,"the podcast host ask the rest of the panel ""Is there anything else you all wanted to discuss?""",,,C,,,Not at all,Very
97,note,hrpodcast8,<hr>,,,C,,,,
98,note,podcastL3QC3,"<h4>Someone has been listening to a podcast for 80 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
99,"rating_button 1,7,1",podcastL3C3,"a nearby pedestrian say 'Hey, I like that podcast too. Cool.'",,,C,,,Not at all,Very
100,note,hrpodcast9,<hr>,,,C,,,,
101,submit,continue12,Continue,,,C,,,,
102,note,podcastL4QC1,"<h4>Someone has been listening to a podcast for 95 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
103,"rating_button 1,7,1",podcastL4C1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,,C,,,Not at all,Very
104,note,hrpodcast10,<hr>,,,C,,,,
105,note,podcastL4QC2,"<h4>Someone has been listening to a podcast for 95 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
106,"rating_button 1,7,1",podcastL4C2,"the podcast host ask the rest of the panel ""Is there anything else you all wanted to discuss?""",,,C,,,Not at all,Very
107,note,hrpodcast11,<hr>,,,C,,,,
108,note,podcastL4QC3,"<h4>Someone has been listening to a podcast for 95 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
109,"rating_button 1,7,1",podcastL4C3,"a nearby pedestrian say 'Hey, I like that podcast too. Cool.'",,,C,,,Not at all,Very
110,note,hrpodcast12,<hr>,,,C,,,,
111,submit,continue13,Continue,,,C,,,,
112,note,podcastL5QC1,"<h4>Someone has been listening to a podcast for 110 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
113,"rating_button 1,7,1",podcastL5C1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,,C,,,Not at all,Very
114,note,hrpodcast13,<hr>,,,C,,,,
115,note,podcastL5QC2,"<h4>Someone has been listening to a podcast for 110 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
116,"rating_button 1,7,1",podcastL5C2,"the podcast host ask the rest of the panel ""Is there anything else you all wanted to discuss?""",,,C,,,Not at all,Very
117,note,hrpodcast14,<hr>,,,C,,,,
118,note,podcastL5QC3,"<h4>Someone has been listening to a podcast for 110 minutes. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
119,"rating_button 1,7,1",podcastL5C3,"a nearby pedestrian say 'Hey, I like that podcast too. Cool.'",,,C,,,Not at all,Very
120,note,hrpodcast15,<hr>,,,C,,,,
121,submit,continue14,Continue,,,C,,,,
122,text,attentionCheck,This is an attention check,,,,,,,
